id;safra_abertura;cidade;estado;idade;sexo;limite_total;limite_disp;data; valor ;grupo_estabelecimento;cidade_estabelecimento;pais_estabelecimento
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;2165;16.04.2020;22,35;SEM RAMO;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;2405;27.07.2019;36,19;SERVI‚O;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;2072;1.04.2019;61,89;SERVI‚O;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;2047;10.01.2020;89,9;M.O.T.O.;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;2352;2.08.2019;35,2;SERVI‚O;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;2346;2.08.2019;11,96;SERVI‚O;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1589;14.06.2019;22,35;SEM RAMO;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1850;14.05.2019;51,06;SUPERMERCADOS;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1755;29.11.2019;1.799,00;LOJA DE DEPART;FRANCA;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1827;14.05.2019;22,35;ARTIGOS ELETRO;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;2643;14.02.2020;22,35;SEM RAMO;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1901;10.05.2019;50,38;SERVI‚O;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1280;18.04.2019;14,94;SERVI‚O;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;2687;10.10.2019;89,9;M.O.T.O.;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;3059;10.03.2020;89,9;M.O.T.O.;SAO PAULO;BR
4,23E+11;201405;SAO PAULO             ;SP ;47;F;3800;1772;19.08.2019;12,96;SERVI‚O;SAO PAULO;BR
