id,dat_nsc,renda,latitude,longitude,ano,mes,dia,hora,idade,geracoes,index_right,CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2,qtd_cliente,geometry/type,geometry/coordinates/0,geometry/coordinates/1
d5416e97-027e-401f-9d6f-a263b37b8c88,1979/06/18 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-22.397780000004,-41.808500000004,1979,6,18,0,42,1960 a 1979 - Geracao X,3211,3302403,Macaé,RJ,1216.989,4,Point,-41.808500000004,-22.397780000004
7aa73881-3050-48ea-8bf9-65cc070d5888,1967/06/17 00:00:00,"DE R$ 3.800,00 A R$ 7.600,00",-22.359642000004,-41.771136000004,1967,6,17,0,54,1960 a 1979 - Geracao X,3211,3302403,Macaé,RJ,1216.989,4,Point,-41.771136000004,-22.359642000004
50211270-f9f5-4da4-b452-5ce0c534d4a4,1972/02/03 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-22.390448378382,-41.798054324328,1972,2,3,0,49,1960 a 1979 - Geracao X,3211,3302403,Macaé,RJ,1216.989,4,Point,-41.798054324328,-22.390448378382
a1d65557-4510-4dd8-8627-15c5f4a9c7a2,1978/01/13 00:00:00,"DE R$ 788,00 A R$ 1.140,00",-9.925278000003,-36.475833000003,1978,1,13,0,43,1960 a 1979 - Geracao X,1693,2704005,Junqueiro,AL,247.724,7,Point,-36.475833000003,-9.925278000003
e1ec2a65-de9a-4c77-86a9-98e7a09ae177,1977/05/01 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-9.925278000003,-36.475833000003,1977,5,1,0,44,1960 a 1979 - Geracao X,1693,2704005,Junqueiro,AL,247.724,7,Point,-36.475833000003,-9.925278000003
6c1de573-0249-4697-b1bc-957877aac506,1966/08/08 00:00:00,"DE R$ 788,00 A R$ 1.140,00",-9.925278000003,-36.475833000003,1966,8,8,0,55,1960 a 1979 - Geracao X,1693,2704005,Junqueiro,AL,247.724,7,Point,-36.475833000003,-9.925278000003
7f65c99f-a3c3-451a-bd08-a5d043d37d90,1976/01/22 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-9.925278000003,-36.475833000003,1976,1,22,0,45,1960 a 1979 - Geracao X,1693,2704005,Junqueiro,AL,247.724,7,Point,-36.475833000003,-9.925278000003
1d4c7c07-7b49-4ce9-be86-ba9a3441210a,1966/04/17 00:00:00,"DE R$ 788,00 A R$ 1.140,00",-9.925278000003,-36.475833000003,1966,4,17,0,55,1960 a 1979 - Geracao X,1693,2704005,Junqueiro,AL,247.724,7,Point,-36.475833000003,-9.925278000003
b116feee-24bc-44c7-9521-a2d1a1f6c3b8,1974/10/21 00:00:00,"DE R$ 1.900,00 A R$ 3.800,00",-9.925278000003,-36.475833000003,1974,10,21,0,47,1960 a 1979 - Geracao X,1693,2704005,Junqueiro,AL,247.724,7,Point,-36.475833000003,-9.925278000003
d1fdb6c1-c892-4901-927c-b1543f843d31,1918/06/20 00:00:00,"DE R$ 788,00 A R$ 1.140,00",-9.925278000003,-36.475833000003,1918,6,20,0,103,1900 a 1940 - Veteranos,1693,2704005,Junqueiro,AL,247.724,7,Point,-36.475833000003,-9.925278000003
